Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate
M. Zapytowski,Marcel Zapytowski,59,65,300000,GK,GK,Poland,https://cdn.sofifa.net/players/244/813/23_60.png,21,187,81,853,332,Korona Kielce,500,465000,SUB,2024,73,2021,-,Right,1,1,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium
T. Martin,Timothy Martin,59,68,450000,GK,GK,Luxembourg,https://cdn.sofifa.net/players/253/070/23_60.png,21,190,80,879,317,Seraing,1000,743000,RES,2023,16,2022,-,Right,3,1,1,-,-,-,-,Medium,Medium
J. Lasso,José Daniel Lasso,59,66,375000,GK,GK,Colombia,https://cdn.sofifa.net/players/266/894/23_60.png,20,193,82,880,314,Deportivo Cali,500,600000,SUB,2023,42,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium
Kim Ji Soo,Ji Soo Kim,59,79,575000,CB,CB,Korea Republic,https://cdn.sofifa.net/players/267/844/23_60.png,17,192,84,1248,275,Seongnam FC,500,1300000,RES,2027,36,2022,-,Right,4,2,1,-,-,-,-,Medium,High
I. Flores,Iván Flores,59,71,500000,CB,CB,Paraguay,https://cdn.sofifa.net/players/268/610/23_60.png,19,182,82,1422,312,Club Libertad,500,1200000,RES,2023,34,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,High
D. Reiziger,Daan Reiziger,59,70,450000,GK,GK,Netherlands,https://cdn.sofifa.net/players/261/755/23_60.png,21,184,78,981,324,Vitesse,1000,765000,SUB,2024,33,2021,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
Shi Yan,Yan Shi,59,74,550000,LM,RM,China PR,https://cdn.sofifa.net/players/263/487/23_60.png,20,174,64,1490,315,Tianjin Jinmen Tiger FC,1000,1200000,LM,2024,40,2021,-,Right,3,3,1,-,-,-,-,High,Medium
S. Ahlers,Sören Ahlers,59,64,275000,GK,GK,Germany,https://cdn.sofifa.net/players/259/900/23_60.png,24,194,86,868,326,FC St. Pauli,2000,461000,RES,2026,28,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
A. Parsons,Alex Parsons,59,69,500000,"RW,LW",CAM,Australia,https://cdn.sofifa.net/players/261/948/23_60.png,22,180,75,1460,328,Sydney FC,2000,725000,SUB,2024,21,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/au.png,-,-,High,Low
J. Abankwah,James Abankwah,59,77,550000,CB,CB,Republic of Ireland,https://cdn.sofifa.net/players/264/509/23_60.png,18,185,79,1444,325,Udinese Calcio,700,1300000,SUB,2026,14,2022,-,Right,2,2,1,-,-,-,-,Medium,High
N. Al Abdali,Nasser Al Abdali,59,59,230000,"LM,CAM,CM",LM,Saudi Arabia,https://cdn.sofifa.net/players/235/069/23_60.png,28,168,64,1542,333,Al Adalah,4000,380000,CM,2025,70,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,High,Medium
L. Robinson,Luke Robinson,59,64,300000,"LB,LWB",LB,Scotland,https://cdn.sofifa.net/players/259/389/23_60.png,20,176,72,1416,313,Tranmere Rovers,1000,0,SUB,2023,21,2020,TRUE,Left,3,2,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,Medium
F. Ravizzoli,Franco Ravizzoli,59,62,240000,GK,GK,Argentina,https://cdn.sofifa.net/players/262/718/23_60.png,24,190,85,915,325,Milton Keynes Dons,1000,438000,SUB,2023,23,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium
B. Vugts,Brent Vugts,59,69,500000,LM,RM,Netherlands,https://cdn.sofifa.net/players/271/422/23_60.png,20,184,72,1454,321,Excelsior,950,825000,RES,2023,35,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
A. Al Harbi,Abdullah Al Harbi,59,59,110000,CB,CB,Saudi Arabia,https://cdn.sofifa.net/players/210/495/23_60.png,33,177,72,1494,311,Al Khaleej,2000,182000,CB,2023,20,2019,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,High
N. Femia,Nicolás Femia,59,62,300000,CM,RM,Argentina,https://cdn.sofifa.net/players/232/769/23_60.png,25,185,73,1615,349,Club Atlético Sarmiento,2000,458000,RES,2022,20,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium
M. Coyle,Mark Coyle,59,62,275000,"CDM,CM",CDM,Republic of Ireland,https://cdn.sofifa.net/players/246/591/23_60.png,25,178,68,1574,338,Shelbourne FC,500,447000,SUB,2022,8,2021,-,Right,4,2,1,-,-,-,-,Medium,High
Y. Voigt,Yannic Voigt,59,74,525000,"LM,LB",LM,Germany,https://cdn.sofifa.net/players/262/976/23_60.png,19,176,70,1536,332,FSV Zwickau,500,1100000,SUB,2023,7,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium
N. Hopland,Nikolai Hopland,59,76,525000,CB,CB,Norway,https://cdn.sofifa.net/players/269/120/23_60.png,17,186,80,1432,310,Aalesunds FK,500,984000,SUB,2023,18,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium
M. Polster,Manuel Polster,59,73,525000,"LW,ST",ST,Austria,https://cdn.sofifa.net/players/269/888/23_60.png,19,183,73,1478,327,FK Austria Wien,2000,1100000,SUB,2025,11,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium
C. Lyons,Chris Lyons,59,59,220000,ST,ST,Republic of Ireland,https://cdn.sofifa.net/players/206/144/23_60.png,29,173,74,1550,334,Drogheda United,550,341000,SUB,2022,9,2018,-,Left,3,2,1,-,-,-,-,Medium,Low
Algobia,Ángel Algobia Esteves,59,68,500000,CM,CM,Spain,https://cdn.sofifa.net/players/246/592/23_60.png,23,180,78,1513,299,Getafe CF,4000,1200000,RES,2023,16,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
J. Taylor,Jason Taylor,59,59,90000,"CM,CDM",CDM,England,https://cdn.sofifa.net/players/165/441/23_60.png,35,185,71,1630,336,Barrow,1000,158000,RES,2023,4,2018,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High
J. Sypek,Jakub Sypek,59,69,500000,"RM,CF,CAM",RM,Poland,https://cdn.sofifa.net/players/257/165/23_60.png,21,180,74,1526,337,Widzew Łódź,850,775000,SUB,2025,21,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium
A. Zinga,Aeron Zinga,59,66,450000,ST,ST,France,https://cdn.sofifa.net/players/256/141/23_60.png,21,185,70,1407,292,Valenciennes FC,950,878000,SUB,2023,15,2021,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
Rubén Gómez,Rubén Gómez Peris,59,74,475000,GK,GK,Spain,https://cdn.sofifa.net/players/271/757/23_60.png,20,182,75,962,316,Villarreal Club de Fútbol B,650,1000000,RES,2023,30,2021,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
M. Robberechts,Milan Robberechts,59,77,575000,RW,CAM,Belgium,https://cdn.sofifa.net/players/263/809/23_60.png,18,180,67,1587,345,KV Mechelen,1000,1200000,RES,2024,39,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium
S. Bradley,Steven Bradley,59,73,550000,"RM,LM,ST",RM,Scotland,https://cdn.sofifa.net/players/259/458/23_60.png,20,187,74,1454,315,Dundalk FC,1000,0,RM,2022,16,2019,TRUE,Right,4,3,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,High,Medium
S. Haji,Siad Haji,59,67,500000,"RM,CAM",CAM,United States,https://cdn.sofifa.net/players/247/426/23_60.png,22,173,71,1419,312,San Jose Earthquakes,1000,850000,RES,2022,19,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Low
Wang Peng,Peng Wang,59,59,190000,"CB,CM",CB,China PR,https://cdn.sofifa.net/players/227/970/23_60.png,29,185,70,1647,354,Shijiazhuang Ever Bright F.C.,2000,295000,SUB,2022,34,2022,-,Right,2,2,1,-,-,-,-,Medium,Medium
Javi Garrido,Javier Garrido López,59,79,550000,GK,GK,Spain,https://cdn.sofifa.net/players/271/490/23_60.png,18,186,70,879,330,CD Leganés,500,1400000,RES,2026,30,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
A. Jasson,Andres Jasson,59,77,600000,"RM,RWB",RM,United States,https://cdn.sofifa.net/players/259/713/23_60.png,20,175,70,1463,321,New York City FC,1000,1300000,SUB,2022,21,2020,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
B. Yıldırım,Bertuğ Yıldırım,59,70,500000,ST,ST,Turkey,https://cdn.sofifa.net/players/267/905/23_60.png,19,186,78,1443,315,Atakaş Hatayspor,2000,1100000,RES,2024,34,2021,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,Medium,Medium
I. Parker,Isaiah Parker,59,73,525000,"LM,LB",LM,United States,https://cdn.sofifa.net/players/266/369/23_60.png,19,173,72,1483,335,FC Dallas,800,1100000,SUB,2022,15,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,High,Medium
T. Warren,Tyrell Warren,59,65,325000,"RB,LB",CB,England,https://cdn.sofifa.net/players/237/696/23_60.png,23,181,72,1478,320,Barrow,1000,634000,RB,2024,21,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
S. Kvile,Sigurd Kvile,59,71,525000,CB,CB,Norway,https://cdn.sofifa.net/players/256/396/23_60.png,22,187,80,1386,312,FK Bodø/Glimt,750,788000,SUB,2024,26,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium
Adrián González,Adrián González Moyano,59,67,450000,GK,GK,Spain,https://cdn.sofifa.net/players/271/488/23_60.png,22,188,80,882,312,Sevilla FC,2000,1000000,RES,2023,31,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
A. Cozier-Duberry,Amario Cozier-Duberry,59,78,550000,"LM,CAM",LM,England,https://cdn.sofifa.net/players/271/743/23_60.png,17,170,60,1486,316,Arsenal,1000,1400000,RES,2024,85,2022,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
G. Cabezas,Gian Franco Cabezas,59,75,575000,CM,CAM,Colombia,https://cdn.sofifa.net/players/261/502/23_60.png,19,180,75,1629,352,Deportivo Cali,500,1200000,RES,2022,28,2021,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium
H. Hackney,Hayden Hackney,59,72,550000,"CM,CAM",CAM,England,https://cdn.sofifa.net/players/253/054/23_60.png,20,178,70,1664,349,Middlesbrough,3000,1400000,SUB,2023,30,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
M. Schulze,Moritz Schulze,59,68,450000,GK,GK,Germany,https://cdn.sofifa.net/players/257/149/23_60.png,21,190,85,965,332,SC Paderborn 07,2000,810000,RES,2023,1,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
K. Letheren,Kyle Letheren,59,59,40000,GK,GK,Wales,https://cdn.sofifa.net/players/170/877/23_60.png,34,188,94,1010,327,Hartlepool United,1000,70000,SUB,2023,21,2022,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,Medium,Medium
A. Boman,André Boman,59,70,500000,CM,CAM,Sweden,https://cdn.sofifa.net/players/256/380/23_60.png,20,184,74,1621,349,Varbergs BoIS FC,550,725000,SUB,2026,22,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium
A. Drakpe,Augustin Drakpe,59,72,500000,CB,CB,Togo,https://cdn.sofifa.net/players/258/435/23_60.png,20,185,78,1394,302,Sparta Rotterdam,1000,1000000,RES,2024,22,2020,-,Right,3,2,1,-,-,-,-,Medium,Medium
D. Chesters,Daniel Chesters,59,74,550000,"RM,CAM",RM,England,https://cdn.sofifa.net/players/264/580/23_60.png,20,173,68,1482,317,Colchester United,7000,0,RES,2023,23,2021,TRUE,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
Àlex Baño,Àlex Baño Canellas,59,67,450000,GK,GK,Spain,https://cdn.sofifa.net/players/271/492/23_60.png,22,189,80,906,325,SD Ponferradina,1000,810000,RES,2023,32,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
J. Durán,Jhon Durán,59,76,575000,ST,ST,Colombia,https://cdn.sofifa.net/players/247/172/23_60.png,18,187,70,1443,331,Chicago Fire Football Club,600,1200000,SUB,2024,26,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium
O. Malik,Osama Malik,59,59,160000,"CDM,CM,CB",CDM,Australia,https://cdn.sofifa.net/players/192/651/23_60.png,31,185,75,1551,332,Odisha FC,500,216000,SUB,2023,6,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium
P. Brouwer,Patrick Brouwer,59,68,500000,"CM,RM",CAM,Netherlands,https://cdn.sofifa.net/players/270/475/23_60.png,21,176,70,1676,353,Sparta Rotterdam,1000,825000,RES,2024,25,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,High,Medium
A. Čajić,Aldin Čajić,59,59,220000,"CM,CAM,CDM",CM,Bosnia and Herzegovina,https://cdn.sofifa.net/players/201/099/23_60.png,29,182,70,1561,339,İstanbulspor,2000,429000,RES,2025,11,2017,-,Right,3,2,1,-,-,-,-,Medium,Medium
M. Lemmens,Mats Lemmens,59,67,475000,RB,CB,Belgium,https://cdn.sofifa.net/players/271/498/23_60.png,20,186,81,1458,307,Lecce,2000,950000,RES,2023,83,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/be.png,-,-,Low,High
T. Berger,Tobias Berger,59,69,475000,LB,LB,Austria,https://cdn.sofifa.net/players/269/450/23_60.png,20,185,80,1571,341,Austria Lustenau,1000,784000,SUB,2023,4,2020,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium
D. Mebude,Dapo Mebude,59,70,500000,"CAM,ST",ST,Scotland,https://cdn.sofifa.net/players/261/513/23_60.png,20,174,69,1547,334,KV Oostende,2000,825000,SUB,2026,92,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,High,Medium
L. Mayo,Lewis Mayo,59,70,475000,"CB,RWB,CDM",CB,Scotland,https://cdn.sofifa.net/players/261/512/23_60.png,22,191,82,1459,331,Kilmarnock,6000,0,CB,2023,2,2020,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,High,Medium
J. Stretton,Jack Stretton,59,67,500000,ST,ST,Scotland,https://cdn.sofifa.net/players/259/976/23_60.png,20,183,74,1440,304,Carlisle United,1000,0,SUB,2023,32,2020,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,High,Medium
A. Kuol,Alou Kuol,59,71,550000,ST,ST,Australia,https://cdn.sofifa.net/players/256/392/23_60.png,20,181,72,1426,307,VfB Stuttgart,3000,1100000,RES,2025,27,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Low
Bernardo,Bernardo Oliveira,59,73,525000,RM,CAM,Australia,https://cdn.sofifa.net/players/264/072/23_60.png,18,171,68,1479,321,Adelaide United,500,984000,SUB,2025,31,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/au.png,-,-,High,Low
J. Karlsson,Johan Karlsson,59,69,475000,"RB,RWB,CM",RB,Sweden,https://cdn.sofifa.net/players/257/158/23_60.png,21,172,68,1555,332,Kalmar FF,500,689000,SUB,2025,13,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/se.png,-,-,High,Medium
F. Blake-Tracy,Frazer Blake-Tracy,59,60,240000,"LB,LWB",LB,England,https://cdn.sofifa.net/players/250/758/23_60.png,26,183,68,1444,314,Swindon Town,1000,0,LB,2023,20,2021,TRUE,Left,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High
K. van der Veldt,Kaj van der Veldt,59,71,500000,"CB,LB",CB,Netherlands,https://cdn.sofifa.net/players/271/750/23_60.png,19,187,80,1419,306,SC Heerenveen,700,825000,SUB,2023,42,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
A. Popovic,Alexandar Popovic,59,72,500000,CB,CB,Australia,https://cdn.sofifa.net/players/264/070/23_60.png,19,185,82,1333,288,Adelaide United,500,938000,SUB,2024,41,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium
Choi Ji Moog,Ji Moog Choi,59,66,425000,"LB,CB",LB,Korea Republic,https://cdn.sofifa.net/players/256/388/23_60.png,23,178,66,1482,320,Seongnam FC,800,616000,CB,2022,34,2020,-,Left,4,2,1,-,-,-,-,Medium,High
F. Pace,Federico Pace,59,65,350000,LB,LB,Italy,https://cdn.sofifa.net/players/271/595/23_60.png,22,176,70,1399,302,Brescia,700,613000,RES,2027,30,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium
A. Burke-Gilroy,Antonee Burke-Gilroy,59,65,325000,"RB,RM",RM,Australia,https://cdn.sofifa.net/players/240/632/23_60.png,24,170,70,1670,352,Perth Glory,850,471000,RB,2023,21,2021,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium
Pan Ximing,Ximing Pan,59,59,190000,CB,CB,China PR,https://cdn.sofifa.net/players/233/449/23_60.png,29,181,70,1454,308,Hebei FC,2000,295000,CB,2022,4,2020,-,Right,3,2,1,-,-,-,-,Medium,Medium
F. Al Johani,Fahad Al Johani,59,59,220000,"LM,ST,RM",LM,Saudi Arabia,https://cdn.sofifa.net/players/210/901/23_60.png,30,178,72,1545,334,Al Tai,3000,363000,SUB,2023,32,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,Medium
N. Savignac,Noa Savignac,59,73,525000,"RM,LM",RM,France,https://cdn.sofifa.net/players/271/068/23_60.png,19,173,67,1462,314,Rodez Aveyron Football,550,1200000,RES,2027,32,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
P. Flores,Patricio Flores,59,68,450000,CB,CB,Chile,https://cdn.sofifa.net/players/259/547/23_60.png,20,175,70,1330,283,Unión La Calera,550,698000,SUB,2022,6,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/cl.png,-,-,Medium,Medium
L. Ivanovic,Luke Ivanovic,59,67,500000,"ST,LM",ST,Australia,https://cdn.sofifa.net/players/247/259/23_60.png,22,189,80,1509,328,Perth Glory,1000,725000,SUB,2024,12,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Low
Zhang Lu,Lu Zhang,59,59,110000,"RM,RB",RM,China PR,https://cdn.sofifa.net/players/224/731/23_60.png,34,181,74,1686,364,Shanghai Shenhua FC,2000,171000,RES,2022,8,2014,-,Right,3,3,1,-,-,-,-,Medium,High
D. Amos,Danny Amos,59,65,350000,LB,LB,Northern Ireland,https://cdn.sofifa.net/players/235/994/23_60.png,22,180,68,1547,328,Grimsby Town,1000,683000,SUB,2023,22,2022,-,Left,3,2,1,-,-,-,-,Medium,Medium
J. Rasmussen,Justin Rasmussen,59,67,475000,"LB,LM",LWB,United States,https://cdn.sofifa.net/players/267/738/23_60.png,23,182,79,1654,353,Portland Timbers,1000,808000,SUB,2022,14,2022,-,Left,4,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,High,Medium
F. Dzelili,Flamur Dzelili,59,67,500000,RW,RM,Sweden,https://cdn.sofifa.net/players/266/202/23_60.png,22,183,73,1440,323,Varbergs BoIS FC,700,725000,SUB,2024,28,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium
A. Majrashi,Abdullah Majrashi,59,65,325000,"CDM,CM",CDM,Saudi Arabia,https://cdn.sofifa.net/players/240/857/23_60.png,24,175,71,1551,338,Al Raed,2000,601000,SUB,2024,6,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Low,Medium
E. Longelo,Emmanuel Longelo,59,71,525000,LB,LWB,England,https://cdn.sofifa.net/players/256/216/23_60.png,21,181,70,1575,343,Birmingham City,6000,0,RES,2023,23,2019,TRUE,Left,2,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
A. Guessand,Axel Guessand,59,77,525000,CB,CB,France,https://cdn.sofifa.net/players/264/408/23_60.png,17,192,72,1344,298,Udinese Calcio,500,1200000,RES,2025,67,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High
S. Barnes,Sam Barnes,59,73,525000,CB,CB,England,https://cdn.sofifa.net/players/248/534/23_60.png,21,191,70,1414,305,Blackburn Rovers,4000,1300000,RES,2023,32,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
D. Vera,Dixon Vera,59,69,475000,"RM,RW",RM,Ecuador,https://cdn.sofifa.net/players/268/502/23_60.png,19,175,64,1544,340,CS Emelec,500,1100000,SUB,2024,15,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,High,Medium
J. Macías,Juan Macías,59,71,500000,"CM,CAM,RW",CAM,Ecuador,https://cdn.sofifa.net/players/267/990/23_60.png,17,175,75,1704,358,LDU Quito,500,1200000,SUB,2025,28,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium
D. Jefferies,Dominic Jefferies,59,73,525000,"CDM,CM",CB,Wales,https://cdn.sofifa.net/players/252/884/23_60.png,20,179,78,1515,328,Gillingham,1000,1200000,SUB,2024,16,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,Medium,High
S. Măzărache,Simon Măzărache,59,59,220000,ST,ST,Romania,https://cdn.sofifa.net/players/257/756/23_60.png,29,184,82,1479,318,Petrolul Ploiești,2000,297000,SUB,2024,93,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Low
A. Stensrud,Abel William Stensrud,59,73,550000,ST,ST,Norway,https://cdn.sofifa.net/players/266/452/23_60.png,20,178,75,1403,302,Odds BK,800,1000000,SUB,2023,22,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium
P. Glatzel,Paul Glatzel,59,65,375000,ST,ST,Germany,https://cdn.sofifa.net/players/247/507/23_60.png,21,174,67,1523,317,Tranmere Rovers,11000,0,SUB,2023,9,2019,TRUE,Left,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Low
T. De Barr,Tjay De Barr,59,65,375000,"ST,LM,RM",ST,Gibraltar,https://cdn.sofifa.net/players/263/891/23_60.png,22,175,74,1559,333,Wycombe Wanderers,2000,731000,SUB,2023,29,2021,-,Right,3,2,1,-,-,-,-,Medium,Medium
P. Kapek,Przemysław Kapek,59,72,550000,"ST,CF",ST,Poland,https://cdn.sofifa.net/players/258/257/23_60.png,19,177,69,1439,310,Cracovia,1000,1100000,SUB,2023,16,2020,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Low
R. van Ekeris,Remi van Ekeris,59,71,525000,"CAM,CM",CAM,Netherlands,https://cdn.sofifa.net/players/271/312/23_60.png,19,178,68,1513,321,FC Emmen,950,866000,RES,2023,12,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
J. Sanders,Jack Sanders,59,64,300000,"CB,RB",CB,England,https://cdn.sofifa.net/players/257/487/23_60.png,23,193,88,1350,294,Kilmarnock,1000,548000,SUB,2023,14,2021,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
M. Al Najai,Muhannad Al Najai,59,59,200000,"CDM,CM",CDM,Saudi Arabia,https://cdn.sofifa.net/players/251/506/23_60.png,28,182,69,1548,334,Damac FC,3000,330000,RES,2023,18,2017,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,High
M. Colque,Miguel Colque,59,71,500000,"CB,RB",CB,Bolivia,https://cdn.sofifa.net/players/266/354/23_60.png,19,175,73,1504,322,Club Deportivo Jorge Wilstermann,500,1200000,RES,2022,27,2021,-,Right,3,2,1,-,-,-,-,Medium,High
J. Meerstadt,Jason Meerstadt,59,70,475000,"CDM,CB",CB,Netherlands,https://cdn.sofifa.net/players/260/465/23_60.png,20,186,75,1540,329,Sparta Rotterdam,1000,784000,RES,2023,26,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
Yang Yun,Yun Yang,59,59,110000,CB,CB,China PR,https://cdn.sofifa.net/players/191/857/23_60.png,33,185,75,1602,341,Shijiazhuang Ever Bright F.C.,1000,171000,CB,2022,6,2019,-,Right,2,2,1,-,-,-,-,Medium,Medium
G. Boylan,Gary Boylan,59,60,240000,"RB,LB",RB,Republic of Ireland,https://cdn.sofifa.net/players/221/809/23_60.png,26,179,72,1524,327,Finn Harps,500,390000,SUB,2023,7,2022,-,Right,4,2,1,-,-,-,-,High,High
E. Panicco,Elliot Panicco,59,64,275000,GK,GK,United States,https://cdn.sofifa.net/players/256/111/23_60.png,25,196,93,890,322,Nashville SC,1000,433000,SUB,2022,30,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
Han Guanghui,Guanghui Han,59,59,80000,"LB,LM",LB,China PR,https://cdn.sofifa.net/players/233/327/23_60.png,34,183,75,1566,341,Chengdu Rongcheng F.C.,2000,124000,SUB,2025,14,2022,-,Left,3,2,1,-,-,-,-,High,Medium
Gao Huaze,Huaze Gao,59,64,350000,"LM,CM",RM,China PR,https://cdn.sofifa.net/players/233/948/23_60.png,24,175,67,1645,350,Hebei FC,2000,569000,CM,2025,20,2018,-,Right,3,2,1,-,-,-,-,Medium,Low
Y. Assogba,Youssouf Assogba,59,72,525000,"RB,RM",RB,Benin,https://cdn.sofifa.net/players/259/804/23_60.png,20,173,70,1462,317,Amiens SC,800,1200000,SUB,2024,19,2020,-,Right,2,2,1,-,-,-,-,Medium,Medium
M. Didden,Matisse Didden,59,72,525000,"CDM,CB",CB,Belgium,https://cdn.sofifa.net/players/270/702/23_60.png,20,198,91,1465,323,KRC Genk,2000,1100000,RES,2025,27,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,High
